Sequoia National Park,Los Angeles,California,35,Nature,False,4.8,https://www.nps.gov/common/uploads/grid_builder/seki/crop1_1/916C3669-1DD8-B71B-0BE35408261643BC.jpg?width=640&quality=90&mode=crop,https://www.nps.gov/seki/index.htm, 
Sheldon Museum of Art,Lincoln,Nebraska,0,Educational,True,4.5,https://s3-media0.fl.yelpcdn.com/bphoto/ov1polHXXSH0eymPNuwzlg/348s.jpg,https://sheldonartmuseum.org/, 
Sixth Floor Museum,Dallas,Texas,15,Educational,True,4.6,https://img.texasmonthly.com/2019/11/dallas-sixth-floor-museum-exterior.jpg?auto=compress&crop=faces&fit=crop&fm=jpg&h=1400&ixlib=php-1.2.1&q=45&w=1400,https://www.jfk.org/, 
St. Augustine's Historic District,Key West,Florida,0,Sightseeing,False,1,https://upload.travelawaits.com/ta/uploads/2021/04/downtown-st-augustine-flori6636a2.jpg,https://www.visitstaugustine.com/regions/historic-downtown, 
St. Patrick's Cathedral,New York City,New York,10,Sightseeing,True,4.8,https://cdn.vox-cdn.com/thumbor/2f-EMIobY_hf_zhb0SjuC8HndQI=/1400x1400/filters:format(jpeg)/cdn.vox-cdn.com/uploads/chorus_asset/file/9075677/stpatricks_cathedral.jpg,https://www.stpatrickscathedral.ie/visit/, 
Statue of Liberty,New York City,New York,0,Sightseeing,False,4.7,"https://media.newyorker.com/photos/60df663b833fa66507c7515e/1:1/w_1679,h_1679,c_limit/Gopnik-Little-Liberty.jpg",https://www.nps.gov/stli/index.htm, 
Strategic Air and Space Museum,Omaha,Nebraska,15,Educational,True,4.7,https://www.roadsideamerica.com/attract/images/ne/NEASHsac_5272ks.jpg,https://www.sacmuseum.org/, 
Texas State Capitol,Austin,Texas,0,Sightseeing,True,4.7,https://txhillcountrytrail.com/public/upload/txhillcountrytrail_com/images/sites/HC-site-StateCapitol-Austin.jpg,https://tspb.texas.gov/plan/tours/tours.html, 
The Alamo,San Antonio,Texas,0,Educational,False,4.6,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDg1NjI1MTI0NTc1/alamo-2.jpg,https://www.thealamo.org/, 
The Frick Collection,New York City,New York,20,Educational,True,4.6,https://images.wsj.net/im-309576?width=1280&size=1,https://www.frick.org/, 
The Getty Center,Los Angeles,California,0,Educational,True,4.8,https://c8.alamy.com/comp/E2AM05/united-states-california-los-angeles-brentwood-hill-jpaul-getty-museum-E2AM05.jpg,https://www.getty.edu/, 
Times Square,New York City,New York,0,Sightseeing,False,4.7,https://www.tripsavvy.com/thmb/rFlaG5E709ir4EWJ21N8E3cRuUc=/3126x3126/smart/filters:no_upscale()/times-square-at-dusk-534858417-59b71eae798a49c4838c1507ec6bbffb.jpg,https://www.timessquarenyc.org/, 
USS Lexington,San Antonio,Texas,20,Educational,True,4.8,"https://images.discerningassets.com/image/upload/c_fill,h_1000,w_1000/c_fit,fl_relative,h_1.0,l_deco_watermark,o_40,w_1.0/c_fill,w_1000,h_1000/v1490500255/USS_Lexington_om0h3r.jpg",https://usslexington.com/, 
Universal Studios Hollywood,Los Angeles,California,110,Pleasure,False,4.6,https://www.universalstudioshollywood.com/tridiondata/ush/en/us/files/images/ush-universal-arch-red-carpet-welcome-back-m.jpg?imwidth=580,https://www.universalstudioshollywood.com/, 
Universal Studios,Orlando,Florida,110,Pleasure,False,4.7,https://travelmamas.com/wp-content/uploads/2018/08/universal_hollywood_entrance_family2_square.jpg,https://www.universalorlando.com/web/en/us, 
Wall Street,New York City,New York,0,Sightseeing,True,4.6,https://i.guim.co.uk/img/media/85e9729f528365925d985308b6b31df6b650f0b9/0_200_6000_3600/master/6000.jpg?width=1200&height=1200&quality=85&auto=format&fit=crop&s=ce9a51750e09299a8c4958591f970d74,https://en.wikipedia.org/wiki/Wall_Street, 
Walt Disney World,Orlando,Florida,110,Pleasure,False,4.7,"https://lumiere-a.akamaihd.net/v1/images/cg_parks_wdw_50thcelebration_specialoffers_21943_25454ec0.jpeg?region=0,0,800,800",https://disneyworld.disney.go.com/, 
Yosemite National Park,San Francisco,California,15,Nature,False,4.8,https://44hwtb1ramg42tavjo3od08v-wpengine.netdna-ssl.com/wp-content/uploads/2020/07/DSC00217-1-1200x1200-cropped.jpg,https://www.nps.gov/yose/index.htm, 
